# PMS Modules (for Users ACL)
# One line per module: ModuleName | One-line definition

Home | Dashboard, workspace, and AI assistant entry points.
Registration | Sales registration and inquiry-to-registration workflow.
Customer | Customer (file) master data, blocking, allotment letters, account statements, reports.
Transfer | Ownership transfer workflow (seller/buyer, attachments, biometric, approval).
TransferFee | Transfer fee setup by project, subproject, type, and priority.
NDC | No Objection Certificate (NDC) issuance and workflow.
Project | Projects and floor plans.
Dealer | Dealer master and management.
Property | Property inventory, import, and plot types.
Payment | Payment plans, schedules, customer payments, record payment, penalties, waivers.
Allotment | Property allotment to customers and approval workflow.
Rental | Rental unit and rental payment management.
SalesInquiry | Sales inquiries and performance reports.
Reports | Defaulters, blocked customers, property report, and other analytics.
Account | Login, user management (Users), profile, logout.
Settings | System configuration (key-value store) management.
ActivityLog | Audit trail of user actions by ref type and ref ID.
AccountsManagement | Accounts-specific operations and views.
Ticket | Support or task tickets (if used).
TesSQL | Test SQL / ad-hoc query execution (admin/dev).
InquiryApi | API endpoint(s) for external inquiry submission.
PaymentAudit | Audit module for reviewing and approving/declining payments.
Refund | Customer payment refund workflow (initiate, approve/decline, payment deletion).
